Word 1	Word 2	Human (mean)	sana1	sana2		
energy	secretary	1.81	energia	sihteeri		
secretary	senate	5.06	sihteeri	senaatti		
energy	laboratory	5.09	energia	laboratorio		
computer	laboratory	6.78	tietokone	laboratorio		
weapon	secret	6.06	ase 	salaisuus		
FBI	fingerprint	6.94	FBI	sormenjälki		
FBI	investigation	8.31	FBI	tutkimus		
investigation	effort	4.59	tutkimus	vaivannäkö	!	
Mars	water	2.94	Mars	vesi		
Mars	scientist	5.63	Mars	tiedemies		
news	report	8.16	uutiset	raportti		
canyon	landscape	7.53	kanjoni	maisema		
image	surface	4.56	kuva	pinta	!	
discovery	space	6.34	löydös	avaruus	!	
water	seepage	6.56	vesi	vuoto		
sign	recess	2.38	merkki	välitunti	!	
Wednesday	news	2.22	keskiviikko	uutiset		
mile	kilometer	8.66	maili	kilometri		
computer	news	4.47	tietokone	uutiset		
territory	surface	5.34	alue	pinta	!	
atmosphere	landscape	3.69	ilmapiiri	maisema		
president	medal	3.00	presidentti	mitali		
war	troops	8.13	sota	sotajoukot		
record	number	6.31	ennätys	numero	!	
skin	eye	6.22	iho	silmä		
Japanese	American	6.50	japanilainen	amerikkalainen		
theater	history	3.91	teatteri	historia		
volunteer	motto	2.56	vapaaehtoinen	motto		
prejudice	recognition	3.00	ennakkoluulo	tunnistaminen		
decoration	valor	5.63	koriste	urheus		
century	year	7.59	vuosisata	vuosi		
century	nation	3.16	vuosisata	kansakunta		
delay	racism	1.19	viive	rasismi		
delay	news	3.31	viive	uutiset		
minister	party	6.63	ministeri	puolue	!	
peace	plan	4.75	rauha	suunnitelma		
minority	peace	3.69	vähemmistö	rauha		
attempt	peace	4.25	yritys	rauha	!	
government	crisis	6.56	hallitus	kriisi		
deployment	departure	4.25	käyttöönotto	lähtö		
deployment	withdrawal	5.88	käyttöönotto	vetäytyminen	!	
energy	crisis	5.94	energia	kriisi		
announcement	news	7.56	ilmoitus	uutiset		
announcement	effort	2.75	ilmoitus	vaivannäkö		
stroke	hospital	7.03	aivohalvaus	sairaala	!	
disability	death	5.47	vamma	kuolema		
victim	emergency	6.47	uhri	hätätilanne		
treatment	recovery	7.91	hoito	paraneminen		
journal	association	4.97	lehti	yhdistys		
doctor	personnel	5.00	lääkäri	henkilökunta		
doctor	liability	5.19	lääkäri	luotettavuus		
liability	insurance	7.03	luotettavuus	vakuutus		
school	center	3.44	koulu	keskus		
reason	hypertension	2.31	syy	hypertensio		kohonnut verenpaine
reason	criterion	5.91	syy	kriteeri		
hundred	percent	7.38	sata	prosentti		
Harvard	Yale	8.13	Harvard	Yale		
hospital	infrastructure	4.63	sairaala	infrastruktuuri		
death	row	5.25	kuolema	rivi	!	yhdyssana
death	inmate	5.03	kuolema	vanki		
lawyer	evidence	6.69	lakimies	todiste		
life	death	7.88	elämä	kuolema		
life	term	4.50	elämä	toimikausi	!	
word	similarity	4.75	sana	samanlaisuus		yhdyssana
board	recommendation	4.47	levy	suositus	!	
governor	interview	3.25	kuvernööri	haastattelu		
OPEC	country	5.63	OPEC	maa		
peace	atmosphere	3.69	rauha	ilmapiiri		
peace	insurance	2.94	rauha	vakuutus		
territory	kilometer	5.28	alue	kilometri		
travel	activity	5.00	matka	aktiviteetti		
competition	price	6.44	kilpailu	palkinto		
consumer	confidence	4.13	kuluttaja	luottamus		
consumer	energy	4.75	kuluttaja	energia		
